Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
France,MOROCCO,MARRAKECH,4,4,,,,30866,25171,7393,29.4%,9,4956,16.1%,"30,870","25,184","4,956",16.1%
France,MOROCCO,RABAT,,,,,,73289,67232,25892,38.5%,74,5736,7.8%,"73,289","67,306","5,736",7.8%
France,MOROCCO,TANGER,,,,,,45024,33905,10179,30.0%,4,8297,18.4%,"45,024","33,909","8,297",18.4%
France,MOZAMBIQUE,MAPUTO,6,6,,,,1208,1019,80,7.9%,,167,13.8%,"1,214","1,025",167,13.8%
France,MYANMAR,YANGON,,,,,,2797,2559,264,10.3%,,207,7.4%,"2,797","2,559",207,7.4%
France,NEW ZEALAND,WELLINGTON,,,,,,759,742,174,23.5%,,9,1.2%,759,742,9,1.2%
France,NICARAGUA,MANAGUA,,,,,,1,,,,,1,100.0%,1,,1,100.0%
France,NIGER,NIAMEY,,,,,,6171,5340,1672,31.3%,51,653,10.6%,"6,171","5,391",653,10.6%
France,NIGERIA,ABUJA,54,28,,25,46.3%,7787,4181,1038,24.8%,270,3510,45.1%,"7,841","4,479","3,535",45.1%
France,NIGERIA,LAGOS,102,24,,54,52.9%,25521,12330,3962,32.1%,11,12963,50.8%,"25,623","12,365","13,017",50.8%
France,NORTH MACEDONIA,SKOPJE,,,,,,64,48,20,41.7%,,8,12.5%,64,48,8,12.5%
France,NORWAY,OSLO,,,,,,1,1,,,,,,1,1,,
France,OMAN,MUSCAT,,,,,,8081,7324,3369,46.0%,2,579,7.2%,"8,081","7,326",579,7.2%
France,PAKISTAN,ISLAMABAD,2,,,1,50.0%,6388,3780,606,16.0%,43,2476,38.8%,"6,390","3,823","2,477",38.8%
France,PAKISTAN,KARACHI,,,,,,2,2,,,,,,2,2,,
France,PANAMA,PANAMA CITY,7,7,,,,102,88,4,4.5%,,7,6.9%,109,95,7,6.4%
France,PARAGUAY,ASUNCION,,,,,,1,,,,,,,1,,,
France,PERU,LIMA,1,1,,,,142,128,10,7.8%,,5,3.5%,143,129,5,3.5%
France,PHILIPPINES,MANILA,2,1,,1,50.0%,33193,29431,7832,26.6%,35,3581,10.8%,"33,195","29,467","3,582",10.8%
France,POLAND,WARSAW,,,,,,1,1,,,,,,1,1,,
France,QATAR,DOHA,2,1,,,,34963,31910,18818,59.0%,58,2880,8.2%,"34,965","31,969","2,880",8.2%
France,ROMANIA,BUCHAREST,,,,,,857,820,155,18.9%,,27,3.2%,857,820,27,3.2%
France,RUSSIAN FEDERATION,MOSCOW,24,23,,,,378353,366033,190364,52.0%,61,8798,2.3%,"378,377","366,117","8,798",2.3%
France,RWANDA,KIGALI,,,,,,118,107,,,2,4,3.4%,118,109,4,3.4%
France,SAINT LUCIA,CASTRIES,18,17,,,,541,485,122,25.2%,,21,3.9%,559,502,21,3.8%
France,SAUDI ARABIA,JEDDAH,8,3,,2,25.0%,61522,52744,36252,68.7%,25,7475,12.2%,"61,530","52,772","7,477",12.2%
France,SAUDI ARABIA,RIYADH,5,3,,2,40.0%,69117,64213,46274,72.1%,62,4037,5.8%,"69,122","64,278","4,039",5.8%
France,SENEGAL,DAKAR,70,53,,6,8.6%,43145,26696,7371,27.6%,3,15665,36.3%,"43,215","26,752","15,671",36.3%
France,SERBIA,BELGRADE,,,,,,65,52,15,28.8%,,8,12.3%,65,52,8,12.3%
France,SEYCHELLES,VICTORIA,,,,,,2,2,1,50.0%,,,,2,2,,
France,SINGAPORE,SINGAPORE,3,2,,,,9983,9692,4837,49.9%,,182,1.8%,"9,986","9,694",182,1.8%
France,SOUTH AFRICA,CAPE TOWN,,,,,,11193,10882,4835,44.4%,1,233,2.1%,"11,193","10,883",233,2.1%
France,SOUTH AFRICA,JOHANNESBURG,4,4,,,,25849,24927,12299,49.3%,8,627,2.4%,"25,853","24,939",627,2.4%
France,SOUTH KOREA,SEOUL,,,,,,841,816,52,6.4%,,22,2.6%,841,816,22,2.6%
France,SPAIN,MADRID,,,,,,136,122,3,2.5%,,4,2.9%,136,122,4,2.9%
France,SRI LANKA,COLOMBO,,,,,,13236,10239,2175,21.2%,21,2812,21.2%,"13,236","10,260","2,812",21.2%
France,SUDAN,KHARTOUM,,,,,,3236,2220,573,25.8%,52,812,25.1%,"3,236","2,272",812,25.1%
France,SURINAME,PARAMARIBO,,,,,,2910,2695,272,10.1%,1,134,4.6%,"2,910","2,696",134,4.6%
France,SWEDEN,STOCKHOLM,,,,,,7,5,,,,1,14.3%,7,5,1,14.3%
France,SWITZERLAND,GENEVA,,,,,,62,57,,,,1,1.6%,62,57,1,1.6%
France,SYRIA,ALEPPO,,,,,,,,,,,1,,,,1,
France,TAIWAN,TAIPEI,3,3,,,,319,297,15,5.1%,,9,2.8%,322,300,9,2.8%
France,TANZANIA,DAR ES SALAAM,,,,,,1520,1252,400,31.9%,36,224,14.7%,"1,520","1,288",224,14.7%
France,THAILAND,BANGKOK,,,,,,62120,60408,26136,43.3%,1,1276,2.1%,"62,120","60,409","1,276",2.1%
France,TOGO,LOME,7,5,,,,7498,5745,2241,39.0%,1,1626,21.7%,"7,505","5,751","1,626",21.7%
France,TUNISIA,TUNIS,,,,,,166930,135817,47329,34.8%,47,26604,15.9%,"166,930","135,864","26,604",15.9%
France,TURKEY,ANKARA,3,3,,,,27240,24470,6733,27.5%,4,2440,9.0%,"27,243","24,477","2,440",9.0%
France,TURKEY,ISTANBUL,1,1,,,,101411,94812,33304,35.1%,2,5143,5.1%,"101,412","94,815","5,143",5.1%
France,UGANDA,KAMPALA,2,1,,,,2924,2302,415,18.0%,,489,16.7%,"2,926","2,303",489,16.7%
France,UKRAINE,KYIV,10,8,,2,20.0%,1906,1627,84,5.2%,1,232,12.2%,"1,916","1,636",234,12.2%
France,UNITED ARAB EMIRATES,ABU DHABI,5,5,,,,11964,10628,3102,29.2%,19,1186,9.9%,"11,969","10,652","1,186",9.9%
France,UNITED ARAB EMIRATES,DUBAI,13,5,,7,53.8%,26491,21677,6279,29.0%,106,4403,16.6%,"26,504","21,788","4,410",16.6%
France,UNITED KINGDOM,EDINBURGH,,,,,,16,13,4,30.8%,,3,18.8%,16,13,3,18.8%
France,UNITED KINGDOM,LONDON,,,,,,126763,124635,76434,61.3%,74,1190,0.9%,"126,763","124,709","1,190",0.9%
France,URUGUAY,MONTEVIDEO,1,1,,,,28,27,1,3.7%,,,,29,28,,
France,USA,"ATLANTA, GA",36,36,,,,1009,994,115,11.6%,,1,0.1%,"1,045","1,030",1,0.1%
France,USA,"BOSTON, MA",2,2,,,,1285,1244,254,20.4%,,3,0.2%,"1,287","1,246",3,0.2%
France,USA,"CHICAGO, IL",,,,,,1363,1347,309,22.9%,1,18,1.3%,"1,363","1,348",18,1.3%
France,USA,"HOUSTON, TX",8,8,,,,1159,1153,143,12.4%,,9,0.8%,"1,167","1,161",9,0.8%
France,USA,"LOS ANGELES, CA",3,3,,,,2398,2402,291,12.1%,,7,0.3%,"2,401","2,405",7,0.3%
France,USA,"MIAMI, FL",,,,,,1396,1350,392,29.0%,,40,2.9%,"1,396","1,350",40,2.9%
France,USA,"NEW YORK, NY",4,4,,,,2715,2691,578,21.5%,1,14,0.5%,"2,719","2,696",14,0.5%
France,USA,"SAN FRANCISCO, CA",,,,,,3810,3810,1499,39.3%,,,,"3,810","3,810",,
France,USA,"WASHINGTON, DC",21,20,,1,4.8%,26745,24653,7174,29.1%,13,1268,4.7%,"26,766","24,686","1,269",4.7%
France,UZBEKISTAN,TASHKENT,1,1,,,,5382,4466,401,9.0%,40,731,13.6%,"5,383","4,507",731,13.6%
France,VANUATU,PORT VILA,,,,,,164,150,38,25.3%,1,,,164,151,,
France,VENEZUELA,CARACAS,9,9,,,,103,93,26,28.0%,,10,9.7%,112,102,10,8.9%
France,VIETNAM,HANOI,,,,,,35266,32198,4402,13.7%,216,2814,8.0%,"35,266","32,414","2,814",8.0%
France,VIETNAM,HO CHI MINH,,,,,,34061,30875,2180,7.1%,21,2651,7.8%,"34,061","30,896","2,651",7.8%
France,ZIMBABWE,HARARE,,,,,,2826,2646,553,20.9%,,132,4.7%,"2,826","2,646",132,4.7%
Germany,ALBANIA,TIRANA,,,,,,150,107,98,91.6%,24,19,12.7%,150,131,19,12.7%
Germany,ALGERIA,ALGIERS,,,,,,5301,4077,1219,29.9%,24,1200,22.6%,"5,301","4,101","1,200",22.6%
Germany,ANGOLA,LUANDA,1,1,1,,,2113,1275,346,27.1%,1,837,39.6%,"2,114","1,277",837,39.6%
Germany,ARGENTINA,BUENOS AIRES,20,20,20,,,63,56,56,100.0%,5,2,3.2%,83,81,2,2.4%
Germany,ARMENIA,YEREVAN,,,,,,15739,14366,5877,40.9%,5,1368,8.7%,"15,739","14,371","1,368",8.7%
Germany,AUSTRALIA,SYDNEY,,,,,,74,31,30,96.8%,20,23,31.1%,74,51,23,31.1%
Germany,AUSTRIA,VIENNA,,,,,,23,17,16,94.1%,6,,,23,23,,
Germany,AZERBAIJAN,BAKU,,,,,,13224,11377,6534,57.4%,1,1846,14.0%,"13,224","11,378","1,846",14.0%
Germany,BAHRAIN,MANAMA,1,1,1,,,8971,8759,8539,97.5%,14,198,2.2%,"8,972","8,774",198,2.2%
Germany,BANGLADESH,DHAKA,2,2,2,,,5854,4765,4700,98.6%,17,1072,18.3%,"5,856","4,784","1,072",18.3%
Germany,BELARUS,MINSK,4,4,4,,,35044,34694,20738,59.8%,23,327,0.9%,"35,048","34,721",327,0.9%
Germany,BELGIUM,BRUSSELS,,,,,,2,,,,2,,,2,2,,
Germany,BENIN,COTONOU,,,,,,699,503,105,20.9%,6,190,27.2%,699,509,190,27.2%
Germany,BOLIVIA,LA PAZ,6,6,6,,,1938,1871,1854,99.1%,7,60,3.1%,"1,944","1,884",60,3.1%
Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,300,212,194,91.5%,60,28,9.3%,300,272,28,9.3%
Germany,BOTSWANA,GABORONE,2,2,2,,,1655,1646,1628,98.9%,1,8,0.5%,"1,657","1,649",8,0.5%
Germany,BRAZIL,PORTO ALEGRE,,,,,,18,17,13,76.5%,,1,5.6%,18,17,1,5.6%
Germany,BRAZIL,RECIFE,,,,,,16,13,13,100.0%,,3,18.8%,16,13,3,18.8%
Germany,BRAZIL,RIO DE JANEIRO,,,,,,56,45,44,97.8%,,11,19.6%,56,45,11,19.6%
Germany,BRAZIL,SAO PAULO,,,,,,150,115,112,97.4%,1,34,22.7%,150,116,34,22.7%
Germany,BULGARIA,SOFIA,2,2,1,,,861,834,734,88.0%,13,14,1.6%,863,849,14,1.6%
Germany,BURKINA FASO,OUAGADOUGOU,,,,,,1299,1087,1086,99.9%,6,206,15.9%,"1,299","1,093",206,15.9%
Germany,CAMBODIA,PHNOM PENH,,,,,,3526,3104,919,29.6%,,422,12.0%,"3,526","3,104",422,12.0%
Germany,CAMEROON,YAONDE,,,,,,4857,3493,606,17.3%,9,1355,27.9%,"4,857","3,502","1,355",27.9%
Germany,CANADA,TORONTO,3,3,1,,,2429,2305,2281,99.0%,33,91,3.7%,"2,432","2,341",91,3.7%
Germany,CHILE,SANTIAGO DE CHILE,3,3,3,,,116,114,79,69.3%,2,,,119,119,,
Germany,CHINA,BEIJING,1,1,1,,,140216,130643,121532,93.0%,12,9561,6.8%,"140,217","130,656","9,561",6.8%
Germany,CHINA,CHENGDU,,,,,,20506,19975,19973,100.0%,6,525,2.6%,"20,506","19,981",525,2.6%
Germany,CHINA,GUANGZHOU (CANTON),,,,,,84037,80654,66763,82.8%,1,3382,4.0%,"84,037","80,655","3,382",4.0%
Germany,CHINA,SHANGHAI,,,,,,172584,168020,156852,93.4%,18,4546,2.6%,"172,584","168,038","4,546",2.6%
Germany,CHINA,SHENYANG,,,,,,20119,19352,19343,100.0%,5,762,3.8%,"20,119","19,357",762,3.8%
Germany,COLOMBIA,BOGOTA,15,15,12,,,112,92,92,100.0%,13,7,6.3%,127,120,7,5.5%
Germany,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,250,192,171,89.1%,40,18,7.2%,250,232,18,7.2%
Germany,COSTA RICA,SAN JOSE,5,5,2,,,35,29,27,93.1%,5,1,2.9%,40,39,1,2.5%
Germany,COTE D'IVOIRE,ABIDJAN ,,,,,,2474,1627,1121,68.9%,1,846,34.2%,"2,474","1,628",846,34.2%
Germany,CROATIA,ZAGREB,2,2,2,,,240,230,229,99.6%,,10,4.2%,242,232,10,4.1%
Germany,CUBA,HAVANA,,,,,,4760,3833,3820,99.7%,8,919,19.3%,"4,760","3,841",919,19.3%
Germany,CYPRUS,NICOSIA,1,1,1,,,1746,1278,782,61.2%,336,132,7.6%,"1,747","1,615",132,7.6%
Germany,CZECH REPUBLIC,PRAGUE,,,,,,2,1,1,100.0%,1,,,2,2,,
Germany,DENMARK,COPENHAGEN,,,,,,3,1,1,100.0%,2,,,3,3,,
Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,4,4,3,,,3410,2584,1383,53.5%,2,824,24.2%,"3,414","2,590",824,24.1%
Germany,ECUADOR,QUITO,4,3,3,1,25.0%,5252,4659,4540,97.4%,3,590,11.2%,"5,256","4,665",591,11.2%
Germany,EGYPT,CAIRO,1,1,1,,,38535,32848,26496,80.7%,315,5372,13.9%,"38,536","33,164","5,372",13.9%
Germany,EL SALVADOR,SAN SALVADOR,,,,,,5,5,5,100.0%,,,,5,5,,
Germany,ETHIOPIA,ADDIS ABEBA,9,9,7,,,4265,3155,642,20.3%,20,1090,25.6%,"4,274","3,184","1,090",25.5%
Germany,FINLAND,HELSINKI,,,,,,3,3,3,100.0%,,,,3,3,,
Germany,FRANCE,PARIS,,,,,,2,2,2,100.0%,,,,2,2,,
Germany,GEORGIA,TBILISSI,,,,,,324,206,66,32.0%,5,113,34.9%,324,211,113,34.9%
Germany,GHANA,ACCRA,6,4,4,2,33.3%,6406,4374,1022,23.4%,10,2022,31.6%,"6,412","4,388","2,024",31.6%
Germany,GREECE,ATHENS,,,,,,11,7,7,100.0%,4,,,11,11,,
Germany,GUATEMALA,GUATEMALA CITY,4,4,4,,,98,96,96,100.0%,2,,,102,102,,
Germany,GUINEA,CONAKRY,,,,,,3087,1468,502,34.2%,3,1616,52.3%,"3,087","1,471","1,616",52.3%
Germany,HONDURAS,TEGUCIGALPA,,,,,,14,14,14,100.0%,,,,14,14,,
Germany,HONG KONG S.A.R.,HONG KONG,,,,,,2209,2059,2030,98.6%,132,18,0.8%,"2,209","2,191",18,0.8%
Germany,INDIA,BANGALORE,36,34,31,2,5.6%,33707,31277,25611,81.9%,55,2375,7.0%,"33,743","31,366","2,377",7.0%
Germany,INDIA,CHENNAI,44,33,24,11,25.0%,22089,20397,16558,81.2%,9,1683,7.6%,"22,133","20,439","1,694",7.7%
Germany,INDIA,KOLKATA,33,31,31,2,6.1%,7497,7065,7064,100.0%,,432,5.8%,"7,530","7,096",434,5.8%
Germany,INDIA,MUMBAI,176,154,114,22,12.5%,57900,54082,42711,79.0%,5,3813,6.6%,"58,076","54,241","3,835",6.6%
Germany,INDIA,NEW DELHI,136,109,97,27,19.9%,45808,40107,39190,97.7%,165,5536,12.1%,"45,944","40,381","5,563",12.1%
Germany,INDONESIA,JAKARTA,,,,,,27779,27382,27323,99.8%,18,379,1.4%,"27,779","27,400",379,1.4%
Germany,IRAN,TEHERAN,107,102,93,5,4.7%,53647,42453,22587,53.2%,209,10985,20.5%,"53,754","42,764","10,990",20.4%
Germany,IRAQ,BAGHDAD,1,1,1,,,4660,3685,2062,56.0%,13,962,20.6%,"4,661","3,699",962,20.6%
Germany,IRAQ,ERBIL,,,,,,25647,11532,8479,73.5%,15,14100,55.0%,"25,647","11,547","14,100",55.0%
Germany,IRELAND,DUBLIN,,,,,,1089,1042,729,70.0%,4,43,3.9%,"1,089","1,046",43,3.9%
Germany,ISRAEL,TEL AVIV,2,2,2,,,1261,1251,982,78.5%,3,7,0.6%,"1,263","1,256",7,0.6%
Germany,ITALY,ROME,,,,,,30,29,29,100.0%,1,,,30,30,,
Germany,JAMAICA,KINGSTON,33,30,17,3,9.1%,1344,1201,1189,99.0%,3,140,10.4%,"1,377","1,234",143,10.4%
Germany,JAPAN,OSAKA,,,,,,828,811,507,62.5%,2,15,1.8%,828,813,15,1.8%
Germany,JAPAN,TOKYO,,,,,,1816,1814,1810,99.8%,2,,,"1,816","1,816",,
Germany,JORDAN,AMMAN,5,5,5,,,9571,8357,4324,51.7%,253,961,10.0%,"9,576","8,615",961,10.0%
Germany,KAZAKHSTAN,ALMATY,,,,,,19205,17671,8682,49.1%,8,1526,7.9%,"19,205","17,679","1,526",7.9%
Germany,KAZAKHSTAN,ASTANA,,,,,,21624,20909,5765,27.6%,4,711,3.3%,"21,624","20,913",711,3.3%
Germany,KENYA,NAIROBI,1,1,1,,,6142,5136,1457,28.4%,16,990,16.1%,"6,143","5,153",990,16.1%
Germany,KOSOVO,PRISTINA,,,,,,32529,40,39,97.5%,25058,7431,22.8%,"32,529","25,098","7,431",22.8%
Germany,KUWAIT,KUWAIT,2,2,2,,,48508,46999,46997,100.0%,30,1479,3.0%,"48,510","47,031","1,479",3.0%
Germany,KYRGYZSTAN,BISHKEK,,,,,,11064,10295,1527,14.8%,2,767,6.9%,"11,064","10,297",767,6.9%
Germany,LAOS,VIENTIANE,,,,,,1861,1797,954,53.1%,,64,3.4%,"1,861","1,797",64,3.4%
Germany,LATVIA,RIGA,,,,,,3,3,3,100.0%,,,,3,3,,
Germany,LEBANON,BEIRUT,15,12,12,3,20.0%,10971,7370,7193,97.6%,189,3412,31.1%,"10,986","7,571","3,415",31.1%
Germany,LITHUANIA,VILNIUS,,,,,,30,30,30,100.0%,,,,30,30,,
Germany,MALAYSIA,KUALA LUMPUR,3,3,3,,,841,738,728,98.6%,14,89,10.6%,844,755,89,10.5%
Germany,MALI,BAMAKO,,,,,,952,602,343,57.0%,2,348,36.6%,952,604,348,36.6%
Germany,MALTA,VALETTA,,,,,,1,1,,,,,,1,1,,
Germany,MAURITANIA,NOUAKCHOTT,,,,,,1248,907,807,89.0%,1,340,27.2%,"1,248",908,340,27.2%
Germany,MEXICO,MEXICO CITY,69,67,51,2,2.9%,185,180,167,92.8%,4,1,0.5%,254,251,3,1.2%
Germany,MOLDOVA,CHISINAU,12,12,12,,,164,152,142,93.4%,,12,7.3%,176,164,12,6.8%
Germany,MONGOLIA,ULAN BATOR,,,,,,10976,9591,2760,28.8%,5,1380,12.6%,"10,976","9,596","1,380",12.6%
Germany,MONTENEGRO,PODGORICA,,,,,,247,218,213,97.7%,24,5,2.0%,247,242,5,2.0%
Germany,MOROCCO,RABAT,,,,,,18441,12771,9631,75.4%,4,5666,30.7%,"18,441","12,775","5,666",30.7%
Germany,MOZAMBIQUE,MAPUTO,,,,,,1206,1057,363,34.3%,51,98,8.1%,"1,206","1,108",98,8.1%
Germany,MYANMAR,YANGON,3,3,3,,,3968,3816,3715,97.4%,,152,3.8%,"3,971","3,819",152,3.8%
Germany,NAMIBIA,WINDHOEK,,,,,,4002,3950,2082,52.7%,4,48,1.2%,"4,002","3,954",48,1.2%
Germany,NEPAL,KATHMANDU,,,,,,5087,4026,3994,99.2%,1,1060,20.8%,"5,087","4,027","1,060",20.8%
Germany,NETHERLANDS,AMSTERDAM,,,,,,11,11,11,100.0%,,,,11,11,,
Germany,NEW ZEALAND,WELLINGTON,,,,,,545,541,534,98.7%,2,2,0.4%,545,543,2,0.4%
Germany,NICARAGUA,MANAGUA,1,1,1,,,7,7,7,100.0%,,,,8,8,,
Germany,NIGERIA,ABUJA,71,62,52,9,12.7%,1358,1147,598,52.1%,169,42,3.1%,"1,429","1,378",51,3.6%
Germany,NIGERIA,LAGOS,132,38,20,94,71.2%,9489,4404,2191,49.8%,29,5056,53.3%,"9,621","4,471","5,150",53.5%
Germany,NORTH KOREA,PYONGYANG,,,,,,65,52,17,32.7%,,13,20.0%,65,52,13,20.0%
Germany,NORTH MACEDONIA,SKOPJE,,,,,,94,69,69,100.0%,18,7,7.4%,94,87,7,7.4%
Germany,OMAN,MUSCAT,,,,,,10476,9991,9797,98.1%,15,470,4.5%,"10,476","10,006",470,4.5%
Germany,PAKISTAN,ISLAMABAD,,,,,,9229,6784,3803,56.1%,41,2404,26.0%,"9,229","6,825","2,404",26.0%
Germany,PAKISTAN,KARACHI,10,7,4,3,30.0%,10467,8618,8609,99.9%,35,1814,17.3%,"10,477","8,660","1,817",17.3%
Germany,PALESTINIAN AUTHORITY,RAMALLAH,,,,,,4685,3537,3513,99.3%,555,593,12.7%,"4,685","4,092",593,12.7%
Germany,PANAMA,PANAMA CITY,3,3,3,,,69,58,50,86.2%,1,10,14.5%,72,62,10,13.9%
Germany,PARAGUAY,ASUNCION,2,2,2,,,19,15,15,100.0%,4,,,21,21,,
Germany,PERU,LIMA,2,2,2,,,42,40,40,100.0%,1,1,2.4%,44,43,1,2.3%
Germany,PHILIPPINES,MANILA,,,,,,18829,16883,16632,98.5%,7,1939,10.3%,"18,829","16,890","1,939",10.3%
Germany,POLAND,WARSAW,,,,,,20,20,17,85.0%,,,,20,20,,
Germany,PORTUGAL,LISBON,,,,,,5,5,5,100.0%,,,,5,5,,
Germany,QATAR,DOHA,,,,,,19027,17503,15890,90.8%,274,1250,6.6%,"19,027","17,777","1,250",6.6%
Germany,ROMANIA,BUCHAREST,,,,,,645,622,408,65.6%,,23,3.6%,645,622,23,3.6%
Germany,RUSSIAN FEDERATION,KALININGRAD,,,,,,22862,22474,19862,88.4%,,388,1.7%,"22,862","22,474",388,1.7%
Germany,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,199626,193097,192965,99.9%,95,6434,3.2%,"199,627","193,193","6,434",3.2%
Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,,,,,,34612,33254,13219,39.8%,2,1356,3.9%,"34,612","33,256","1,356",3.9%
Germany,RUSSIAN FEDERATION,ST. PETERSBURG,1,,,1,100.0%,19167,18956,15504,81.8%,35,176,0.9%,"19,168","18,991",177,0.9%
Germany,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,25987,24981,12074,48.3%,2,1004,3.9%,"25,987","24,983","1,004",3.9%
Germany,RWANDA,KIGALI,,,,,,121,88,87,98.9%,24,9,7.4%,121,112,9,7.4%
Germany,SAUDI ARABIA,JEDDAH,,,,,,16107,16046,16042,100.0%,2,59,0.4%,"16,107","16,048",59,0.4%
Germany,SAUDI ARABIA,RIYADH,,,,,,47372,41809,38310,91.6%,196,5367,11.3%,"47,372","42,005","5,367",11.3%
Germany,SENEGAL,DAKAR,,,,,,2943,1863,893,47.9%,4,1076,36.6%,"2,943","1,867","1,076",36.6%
Germany,SERBIA,BELGRADE,2,2,2,,,1555,1452,1450,99.9%,53,50,3.2%,"1,557","1,507",50,3.2%
Germany,SINGAPORE,SINGAPORE,2,2,2,,,4591,4554,4552,100.0%,6,31,0.7%,"4,593","4,562",31,0.7%
Germany,SLOVENIA,LJUBLJANA,,,,,,73,49,49,100.0%,11,13,17.8%,73,60,13,17.8%
Germany,SOUTH AFRICA,CAPE TOWN,,,,,,11660,11323,11307,99.9%,9,328,2.8%,"11,660","11,332",328,2.8%
Germany,SOUTH AFRICA,PRETORIA,2,2,2,,,20507,20068,20058,100.0%,7,432,2.1%,"20,509","20,077",432,2.1%
Germany,SOUTH KOREA,SEOUL,1,1,1,,,702,614,595,96.9%,5,83,11.8%,703,620,83,11.8%
Germany,SPAIN,MADRID,3,3,2,,,35,15,15,100.0%,20,,,38,38,,
Germany,SRI LANKA,COLOMBO,,,,,,7912,6478,6310,97.4%,2,1432,18.1%,"7,912","6,480","1,432",18.1%
Germany,SUDAN,KHARTOUM,5,5,5,,,2085,1451,645,44.5%,164,470,22.5%,"2,090","1,620",470,22.5%
Germany,SWEDEN,STOCKHOLM,1,1,1,,,3,3,3,100.0%,,,,4,4,,
Germany,SWITZERLAND,BERN,,,,,,9,7,7,100.0%,2,,,9,9,,
Germany,TAIWAN,TAIPEI,,,,,,340,317,153,48.3%,,23,6.8%,340,317,23,6.8%
Germany,TAJIKISTAN,DUSHANBE,,,,,,4662,3750,1059,28.2%,11,901,19.3%,"4,662","3,761",901,19.3%
Germany,TANZANIA,DAR ES SALAAM,,,,,,2856,2591,2586,99.8%,3,262,9.2%,"2,856","2,594",262,9.2%
Germany,THAILAND,BANGKOK,1,1,1,,,58363,56986,56855,99.8%,5,1372,2.4%,"58,364","56,992","1,372",2.4%
Germany,TOGO,LOME,,,,,,1247,861,240,27.9%,1,385,30.9%,"1,247",862,385,30.9%
Germany,TRINIDAD AND TOBAGO,PORT OF SPAIN,48,48,34,,,117,111,102,91.9%,2,4,3.4%,165,161,4,2.4%
Germany,TUNISIA,TUNIS,9,3,2,6,66.7%,20606,17122,12252,71.6%,63,3421,16.6%,"20,615","17,188","3,427",16.6%
Germany,TURKEY,ANKARA,43,39,38,4,9.3%,72277,60439,57674,95.4%,29,11809,16.3%,"72,320","60,507","11,813",16.3%
Germany,TURKEY,ISTANBUL,72,54,54,18,25.0%,125702,111821,111065,99.3%,77,13804,11.0%,"125,774","111,952","13,822",11.0%
Germany,TURKEY,IZMIR,22,15,15,7,31.8%,39344,36494,31246,85.6%,17,2833,7.2%,"39,366","36,526","2,840",7.2%
Germany,TURKMENISTAN,ASHGABAT,,,,,,4362,4226,1686,39.9%,9,127,2.9%,"4,362","4,235",127,2.9%
Germany,UGANDA,KAMPALA,3,3,2,,,3927,3299,632,19.2%,11,617,15.7%,"3,930","3,313",617,15.7%
Germany,UKRAINE,KYIV,,,,,,5435,5085,3133,61.6%,43,307,5.6%,"5,435","5,128",307,5.6%
Germany,UNITED ARAB EMIRATES,DUBAI,4,3,2,1,25.0%,29867,23658,23359,98.7%,840,5369,18.0%,"29,871","24,501","5,370",18.0%
Germany,UNITED KINGDOM,EDINBURGH,,,,,,2487,2458,2431,98.9%,,29,1.2%,"2,487","2,458",29,1.2%
Germany,UNITED KINGDOM,LONDON,,,,,,23743,23170,22307,96.3%,381,192,0.8%,"23,743","23,551",192,0.8%
Germany,URUGUAY,MONTEVIDEO,2,2,,,,10,7,7,100.0%,1,2,20.0%,12,10,2,16.7%
Germany,USA,"ATLANTA, GA",36,36,16,,,1086,1063,716,67.4%,3,20,1.8%,"1,122","1,102",20,1.8%
Germany,USA,"BOSTON, MA",33,33,3,,,1803,1784,1220,68.4%,17,2,0.1%,"1,836","1,834",2,0.1%
Germany,USA,"CHICAGO, IL",49,49,18,,,2876,2794,1395,49.9%,10,72,2.5%,"2,925","2,853",72,2.5%
Germany,USA,"HOUSTON, TX",30,30,14,,,1718,1638,582,35.5%,7,73,4.2%,"1,748","1,675",73,4.2%
Germany,USA,"LOS ANGELES, CA",,,,,,1916,1880,1493,79.4%,14,22,1.1%,"1,916","1,894",22,1.1%
Germany,USA,"MIAMI, FL",17,17,1,,,548,530,226,42.6%,9,9,1.6%,565,556,9,1.6%
Germany,USA,"NEW YORK, NY",14,14,9,,,3649,3558,3540,99.5%,22,69,1.9%,"3,663","3,594",69,1.9%
Germany,USA,"SAN FRANCISCO, CA",25,25,17,,,3352,3316,3283,99.0%,8,28,0.8%,"3,377","3,349",28,0.8%
Germany,USA,"WASHINGTON, DC",16,16,,,,1300,1252,257,20.5%,2,46,3.5%,"1,316","1,270",46,3.5%
