Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for , ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued ,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas 
France,LAOS,VIENTIANE,,,5,,,"2,600","2,351",236,10.0%,,226,8.7%,"2,600","2,351",226,8.7%
France,LEBANON,BEIRUT,24,22,21,3,12.5%,"51,827","47,475","13,579",28.6%,45,"3,831",7.4%,"51,851","47,542","3,834",7.4%
France,MADAGASCAR,ANTANANARIVO,1,1,,,,"19,870","15,044","3,559",23.7%,,"4,622",23.3%,"19,871","15,045","4,622",23.3%
France,MALAYSIA,KUALA LUMPUR,,,1,,,"1,166",926,63,6.8%,,212,18.2%,"1,166",926,212,18.2%
France,MALI,BAMAKO,75,65,69,3,4.0%,"14,685","10,568","2,946",27.9%,3,"3,382",23.0%,"14,760","10,636","3,385",22.9%
France,MALTA,VALETTA,,,,,,12,9,,,,,,12,9,,
France,MAURITANIA,NOUAKCHOTT,20,11,6,6,30.0%,"5,201","4,203","1,125",26.8%,,760,14.6%,"5,221","4,214",766,14.7%
France,MAURITIUS,PORT LOUIS,12,12,17,,,604,562,209,37.2%,,24,4.0%,616,574,24,3.9%
France,MEXICO,MEXICO CITY,17,14,7,3,17.6%,189,159,20,12.6%,,9,4.8%,206,173,12,5.8%
France,MONACO,MONACO,,,,,,11,11,3,27.3%,,1,9.1%,11,11,1,9.1%
France,MONGOLIA,ULAN BATOR,,,,,,"2,464","1,836",228,12.4%,,597,24.2%,"2,464","1,836",597,24.2%
France,MOROCCO,AGADIR,,,,,,"29,151","21,935","8,597",39.2%,4,"7,140",24.5%,"29,151","21,939","7,140",24.5%
France,MOROCCO,CASABLANCA,1,1,2,,,"101,719","96,228","40,294",41.9%,17,"5,662",5.6%,"101,720","96,246","5,662",5.6%
France,MOROCCO,FES,2,2,,,,"77,315","61,174","22,257",36.4%,34,"18,719",24.2%,"77,317","61,210","18,719",24.2%
France,MOROCCO,MARRAKECH,,,,,,"27,859","23,846","8,982",37.7%,3,"3,918",14.1%,"27,859","23,849","3,918",14.1%
France,MOROCCO,RABAT,6,6,,,,"69,173","64,720","27,524",42.5%,113,"4,052",5.9%,"69,179","64,839","4,052",5.9%
France,MOROCCO,TANGER,,,,,,"32,173","27,594","8,966",32.5%,1,"3,886",12.1%,"32,173","27,595","3,886",12.1%
France,MOZAMBIQUE,MAPUTO,17,17,14,,,"1,376","1,145",73,6.4%,,167,12.1%,"1,393","1,162",167,12.0%
France,MYANMAR,YANGON,,,,,,"2,704","2,572",183,7.1%,,65,2.4%,"2,704","2,572",65,2.4%
France,NEW ZEALAND,WELLINGTON,,,,,,"1,066","1,051",118,11.2%,,6,0.6%,"1,066","1,051",6,0.6%
France,NICARAGUA,MANAGUA,,,,,,3,2,,,,1,33.3%,3,2,1,33.3%
France,NIGER,NIAMEY,6,6,4,,,"5,724","5,008","1,422",28.4%,61,543,9.5%,"5,730","5,075",543,9.5%
France,NIGERIA,ABUJA,37,21,34,13,35.1%,"7,036","3,963","1,092",27.6%,75,"3,030",43.1%,"7,073","4,059","3,043",43.0%
France,NIGERIA,LAGOS,97,45,27,42,43.3%,"21,754","9,962","2,932",29.4%,27,"11,079",50.9%,"21,851","10,034","11,121",50.9%
France,NORWAY,OSLO,,,,,,7,7,,,,,,7,7,,
France,OMAN,MUSCAT,,,,,,"8,374","7,667","4,985",65.0%,,608,7.3%,"8,374","7,667",608,7.3%
France,PAKISTAN,ISLAMABAD,2,2,,,,"6,435","3,892",668,17.2%,50,"2,388",37.1%,"6,437","3,944","2,388",37.1%
France,PANAMA,PANAMA CITY,5,5,7,,,128,124,10,8.1%,,3,2.3%,133,129,3,2.3%
France,PARAGUAY,ASUNCION,,,,,,2,2,,,,,,2,2,,
France,PERU,LIMA,1,1,2,,,274,263,13,4.9%,,4,1.5%,275,264,4,1.5%
France,PHILIPPINES,MANILA,12,3,8,9,75.0%,"30,391","26,584","6,740",25.4%,15,"3,484",11.5%,"30,403","26,602","3,493",11.5%
France,POLAND,WARSAW,,,,,,261,257,,,,,,261,257,,
France,PORTUGAL,LISBON,,,,,,1,3,,,,,,1,3,,
France,QATAR,DOHA,,,3,,,"31,813","27,922","15,276",54.7%,8,"3,763",11.8%,"31,813","27,930","3,763",11.8%
France,ROMANIA,BUCHAREST,,,,,,595,567,119,21.0%,,13,2.2%,595,567,13,2.2%
France,RUSSIAN FEDERATION,MOSCOW,11,5,10,6,54.5%,"265,665","255,746","117,681",46.0%,24,"8,218",3.1%,"265,676","255,775","8,224",3.1%
France,RWANDA,KIGALI,,,,,,133,123,,,,6,4.5%,133,123,6,4.5%
France,SAINT LUCIA,CASTRIES,30,27,18,1,3.3%,459,409,76,18.6%,,19,4.1%,489,436,20,4.1%
France,SAUDI ARABIA,JEDDAH,2,1,6,,,"61,172","55,942","38,318",68.5%,14,"3,730",6.1%,"61,174","55,957","3,730",6.1%
France,SAUDI ARABIA,RIYADH,6,4,6,,,"59,690","56,135","39,002",69.5%,33,"2,745",4.6%,"59,696","56,172","2,745",4.6%
France,SENEGAL,DAKAR,148,104,103,38,25.7%,"40,333","25,446","6,460",25.4%,,"13,461",33.4%,"40,481","25,550","13,499",33.3%
France,SERBIA,BELGRADE,1,1,2,,,59,53,8,15.1%,,2,3.4%,60,54,2,3.3%
France,SEYCHELLES,VICTORIA,1,1,,,,218,216,30,13.9%,,7,3.2%,219,217,7,3.2%
France,SINGAPORE,SINGAPORE,9,9,9,,,"9,497","9,224","5,343",57.9%,,146,1.5%,"9,506","9,233",146,1.5%
France,SLOVENIA,LJUBLJANA,,,,,,138,120,24,20.0%,,,,138,120,,
France,SOUTH AFRICA,CAPE TOWN,2,1,1,1,50.0%,"9,941","9,758","4,391",45.0%,,112,1.1%,"9,943","9,759",113,1.1%
France,SOUTH AFRICA,JOHANNESBURG,5,5,8,,,"24,130","23,501","11,308",48.1%,51,389,1.6%,"24,135","23,557",389,1.6%
France,SOUTH KOREA,SEOUL,1,1,3,,,682,668,53,7.9%,,14,2.1%,683,669,14,2.0%
France,SOUTH SUDAN,JUBA,,,2,,,1,2,1,50.0%,,,,1,2,,
France,SPAIN,MADRID,,,,,,108,98,2,2.0%,,6,5.6%,108,98,6,5.6%
France,SRI LANKA,COLOMBO,6,,,6,100.0%,"11,998","9,478","1,681",17.7%,15,"2,329",19.4%,"12,004","9,493","2,335",19.5%
France,SUDAN,KHARTOUM,1,1,3,,,"2,533","1,916",448,23.4%,17,519,20.5%,"2,534","1,934",519,20.5%
France,SURINAME,PARAMARIBO,,,,,,"3,187","2,307",332,14.4%,4,734,23.0%,"3,187","2,311",734,23.0%
France,SWEDEN,STOCKHOLM,,,,,,32,31,,,,,,32,31,,
France,SWITZERLAND,GENEVA,,,,,,33,28,,,,2,6.1%,33,28,2,6.1%
France,SYRIA,ALEPPO,,,,,,14,13,9,69.2%,,,,14,13,,
France,TAIWAN,TAIPEI,,,,,,267,250,13,5.2%,,8,3.0%,267,250,8,3.0%
France,TANZANIA,DAR ES SALAAM,,,,,,"1,306","1,146",235,20.5%,1,148,11.3%,"1,306","1,147",148,11.3%
France,THAILAND,BANGKOK,,,,,,"47,054","45,456","12,960",28.5%,1,"1,447",3.1%,"47,054","45,457","1,447",3.1%
France,TOGO,LOME,2,2,18,,,"7,313","5,653","1,972",34.9%,1,"1,476",20.2%,"7,315","5,656","1,476",20.2%
France,TRINIDAD AND TOBAGO,PORT OF SPAIN,,,,,,1,,,,,1,100.0%,1,,1,100.0%
France,TUNISIA,TUNIS,,,,,,"143,873","120,606","45,296",37.6%,35,"20,585",14.3%,"143,873","120,641","20,585",14.3%
France,TURKEY,ANKARA,4,4,5,,,"26,125","24,396","6,928",28.4%,4,"1,562",6.0%,"26,129","24,404","1,562",6.0%
France,TURKEY,ISTANBUL,1,1,1,,,"109,898","103,690","35,605",34.3%,2,"4,721",4.3%,"109,899","103,693","4,721",4.3%
France,TURKMENISTAN,ASHGABAT,,,,,,645,634,172,27.1%,,2,0.3%,645,634,2,0.3%
France,UGANDA,KAMPALA,,,,,,"2,484","2,234",720,32.2%,,225,9.1%,"2,484","2,234",225,9.1%
France,UKRAINE,KYIV,4,1,2,4,100.0%,"14,867","14,160","3,283",23.2%,6,599,4.0%,"14,871","14,167",603,4.1%
France,UNITED ARAB EMIRATES,ABU DHABI,10,5,15,3,30.0%,"12,678","10,632","1,501",14.1%,3,"1,927",15.2%,"12,688","10,640","1,930",15.2%
France,UNITED ARAB EMIRATES,DUBAI,15,15,9,,,"23,674","19,531","5,632",28.8%,75,"3,035",12.8%,"23,689","19,621","3,035",12.8%
France,UNITED KINGDOM,EDINBURGH,,,,,,39,32,11,34.4%,,6,15.4%,39,32,6,15.4%
France,UNITED KINGDOM,LONDON,,,,,,"111,597","110,216","57,638",52.3%,43,"1,174",1.1%,"111,597","110,259","1,174",1.1%
France,URUGUAY,MONTEVIDEO,,,3,,,18,14,,,,1,5.6%,18,14,1,5.6%
France,USA,"ATLANTA, GA",12,12,10,,,"1,348","1,311",135,10.3%,,17,1.3%,"1,360","1,323",17,1.3%
France,USA,"BOSTON, MA",4,4,2,,,"2,788","2,758",677,24.5%,,5,0.2%,"2,792","2,762",5,0.2%
France,USA,"CHICAGO, IL",7,7,4,,,"3,526","3,447","1,074",31.2%,,33,0.9%,"3,533","3,454",33,0.9%
France,USA,"HOUSTON, TX",1,1,1,,,"2,894","2,827",440,15.6%,,9,0.3%,"2,895","2,828",9,0.3%
France,USA,"LOS ANGELES, CA",3,3,3,,,"4,603","4,544",508,11.2%,5,10,0.2%,"4,606","4,552",10,0.2%
France,USA,"MIAMI, FL",5,5,7,,,"2,035","1,984",355,17.9%,,29,1.4%,"2,040","1,989",29,1.4%
France,USA,"NEW YORK, NY",6,6,,,,"4,033","3,945","1,496",37.9%,1,23,0.6%,"4,039","3,952",23,0.6%
France,USA,"SAN FRANCISCO, CA",,,1,,,"5,953","5,887","2,621",44.5%,,3,0.1%,"5,953","5,887",3,0.1%
France,USA,"WASHINGTON, DC",6,6,1,,,"9,283","8,971","6,252",69.7%,14,79,0.9%,"9,289","8,991",79,0.9%
France,UZBEKISTAN,TASHKENT,,,,,,"5,435","4,815",353,7.3%,71,465,8.6%,"5,435","4,886",465,8.6%
France,VANUATU,PORT VILA,,,,,,116,105,4,3.8%,,2,1.7%,116,105,2,1.7%
France,VENEZUELA,CARACAS,29,29,10,,,175,120,17,14.2%,,53,30.3%,204,149,53,26.0%
France,VIETNAM,HANOI,,,,,,"27,750","25,277","4,932",19.5%,184,"2,132",7.7%,"27,750","25,461","2,132",7.7%
France,VIETNAM,HO CHI MINH,6,6,2,,,"21,937","19,839","4,681",23.6%,1,"1,988",9.1%,"21,943","19,846","1,988",9.1%
France,ZIMBABWE,HARARE,2,2,3,,,"2,727","2,469",416,16.8%,,233,8.5%,"2,729","2,471",233,8.5%
Germany,AFGHANISTAN,KABUL,,,,,,"1,059",389,91,23.4%,197,473,44.7%,"1,059",586,473,44.7%
Germany,ALBANIA,TIRANA,,,,,,120,107,88,82.2%,8,5,4.2%,120,115,5,4.2%
Germany,ALGERIA,ALGIERS,,,,,,"5,354","4,012","1,610",40.1%,24,"1,318",24.6%,"5,354","4,036","1,318",24.6%
Germany,ANGOLA,LUANDA,3,3,3,,,"1,850","1,090",238,21.8%,2,758,41.0%,"1,853","1,095",758,40.9%
Germany,ARGENTINA,BUENOS AIRES,2,2,2,,,86,80,80,100.0%,3,3,3.5%,88,85,3,3.4%
Germany,ARMENIA,YEREVAN,,,,,,"14,942","13,773","5,395",39.2%,4,"1,165",7.8%,"14,942","13,777","1,165",7.8%
Germany,AUSTRALIA,SYDNEY,,,,,,72,47,44,93.6%,24,1,1.4%,72,71,1,1.4%
Germany,AUSTRIA,VIENNA,,,,,,26,17,17,100.0%,9,,,26,26,,
Germany,AZERBAIJAN,BAKU,,,,,,"13,194","11,401","6,035",52.9%,5,"1,788",13.6%,"13,194","11,406","1,788",13.6%
Germany,BAHRAIN,MANAMA,3,3,3,,,"8,259","8,137","7,883",96.9%,10,112,1.4%,"8,262","8,150",112,1.4%
Germany,BANGLADESH,DHAKA,5,4,2,1,20.0%,"5,992","4,830","4,803",99.4%,36,"1,126",18.8%,"5,997","4,870","1,127",18.8%
Germany,BELARUS,MINSK,1,1,1,,,"36,497","36,190","21,248",58.7%,31,276,0.8%,"36,498","36,222",276,0.8%
Germany,BELGIUM,BRUSSELS,,,,,,1,,,,,1,100.0%,1,,1,100.0%
Germany,BENIN,COTONOU,,,,,,837,644,105,16.3%,1,192,22.9%,837,645,192,22.9%
Germany,BOLIVIA,LA PAZ,3,3,3,,,"1,671","1,629","1,594",97.9%,11,31,1.9%,"1,674","1,643",31,1.9%
Germany,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,161,132,132,100.0%,3,26,16.1%,161,135,26,16.1%
Germany,BOTSWANA,GABORONE,,,,,,"1,608","1,599","1,594",99.7%,,9,0.6%,"1,608","1,599",9,0.6%
Germany,BRAZIL,PORTO ALEGRE,,,,,,20,12,8,66.7%,1,7,35.0%,20,13,7,35.0%
Germany,BRAZIL,RECIFE,1,1,,,,12,12,11,91.7%,,,,13,13,,
Germany,BRAZIL,RIO DE JANEIRO,,,,,,37,36,30,83.3%,,1,2.7%,37,36,1,2.7%
Germany,BRAZIL,SAO PAULO,4,4,4,,,120,80,62,77.5%,17,23,19.2%,124,101,23,18.5%
Germany,BULGARIA,SOFIA,,,,,,850,812,625,77.0%,21,17,2.0%,850,833,17,2.0%
Germany,BURKINA FASO,OUAGADOUGOU,,,,,,"1,381","1,155","1,155",100.0%,6,220,15.9%,"1,381","1,161",220,15.9%
Germany,CAMBODIA,PHNOM PENH,,,,,,"2,475","2,354",263,11.2%,,121,4.9%,"2,475","2,354",121,4.9%
Germany,CAMEROON,YAONDE,1,,,1,100.0%,"4,658","3,034",621,20.5%,10,"1,614",34.7%,"4,659","3,044","1,615",34.7%
Germany,CANADA,TORONTO,10,10,5,,,"2,182","2,115","1,940",91.7%,28,39,1.8%,"2,192","2,153",39,1.8%
Germany,CHILE,SANTIAGO DE CHILE,7,7,3,,,117,113,86,76.1%,2,2,1.7%,124,122,2,1.6%
Germany,CHINA,BEIJING,1,1,,,,"134,584","126,058","116,365",92.3%,11,"8,515",6.3%,"134,585","126,070","8,515",6.3%
Germany,CHINA,CHENGDU,,,,,,"19,841","19,436","19,419",99.9%,2,403,2.0%,"19,841","19,438",403,2.0%
Germany,CHINA,GUANGZHOU (CANTON),,,,,,"75,779","73,735","60,158",81.6%,5,"2,039",2.7%,"75,779","73,740","2,039",2.7%
Germany,CHINA,SHANGHAI,,,,,,"158,053","155,813","144,823",92.9%,16,"2,224",1.4%,"158,053","155,829","2,224",1.4%
Germany,CHINA,SHENYANG,,,,,,"18,705","18,470","18,457",99.9%,3,232,1.2%,"18,705","18,473",232,1.2%
Germany,COLOMBIA,BOGOTA,18,18,10,,,102,98,97,99.0%,1,3,2.9%,120,117,3,2.5%
Germany,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,,,,,,134,119,115,96.6%,14,1,0.7%,134,133,1,0.7%
Germany,COSTA RICA,SAN JOSE,6,6,6,,,38,30,30,100.0%,8,,,44,44,,
Germany,COTE D'IVOIRE,ABIDJAN ,,,,,,"2,244","1,671","1,089",65.2%,1,572,25.5%,"2,244","1,672",572,25.5%
Germany,CROATIA,ZAGREB,,,,,,202,198,197,99.5%,2,2,1.0%,202,200,2,1.0%
Germany,CUBA,HAVANA,,,,,,"4,336","3,444","2,703",78.5%,7,885,20.4%,"4,336","3,451",885,20.4%
Germany,CYPRUS,NICOSIA,2,2,1,,,"1,807","1,328",834,62.8%,328,151,8.4%,"1,809","1,658",151,8.3%
Germany,CZECH REPUBLIC,PRAGUE,,,,,,1,1,1,100.0%,,,,1,1,,
Germany,DOMINICAN REPUBLIC,SANTO DOMINGO,6,6,2,,,"3,193","2,444",987,40.4%,10,739,23.1%,"3,199","2,460",739,23.1%
Germany,ECUADOR,QUITO,8,6,6,2,25.0%,"5,071","4,401","4,397",99.9%,13,657,13.0%,"5,079","4,420",659,13.0%
Germany,EGYPT,CAIRO,,,,,,"33,745","27,836","23,346",83.9%,"1,231","4,678",13.9%,"33,745","29,067","4,678",13.9%
Germany,EL SALVADOR,SAN SALVADOR,,,,,,6,6,6,100.0%,,,,6,6,,
Germany,ESTONIA,TALLINN,,,,,,3,3,2,66.7%,,,,3,3,,
Germany,ETHIOPIA,ADDIS ABEBA,12,11,10,1,8.3%,"4,079","2,964",779,26.3%,15,"1,100",27.0%,"4,091","2,990","1,101",26.9%
Germany,FORMER YUGOSLAV REPUBLIC OF MACEDONIA,SKOPJE,,,,,,168,165,165,100.0%,3,,,168,168,,
Germany,FRANCE,PARIS,,,,,,8,1,1,100.0%,7,,,8,8,,
Germany,GEORGIA,TBILISSI,,,,,,"4,444","4,063","1,208",29.7%,10,371,8.3%,"4,444","4,073",371,8.3%
Germany,GHANA,ACCRA,5,4,2,1,20.0%,"6,303","4,180",956,22.9%,10,"2,113",33.5%,"6,308","4,194","2,114",33.5%
Germany,GREECE,ATHENS,,,,,,6,5,5,100.0%,1,,,6,6,,
Germany,GUATEMALA,GUATEMALA CITY,3,3,3,,,97,95,95,100.0%,1,1,1.0%,100,99,1,1.0%
Germany,GUINEA,CONAKRY,,,,,,"2,728","1,399",550,39.3%,2,"1,327",48.6%,"2,728","1,401","1,327",48.6%
Germany,HONDURAS,TEGUCIGALPA,1,1,,,,12,12,12,100.0%,,,,13,13,,
Germany,HONG KONG S.A.R.,HONG KONG,1,1,,,,"2,076","1,981","1,705",86.1%,92,3,0.1%,"2,077","2,074",3,0.1%
Germany,HUNGARY,BUDAPEST,,,,,,8,8,8,100.0%,,,,8,8,,
Germany,ICELAND,REYKJAVIK,,,,,,1,1,1,100.0%,,,,1,1,,
Germany,INDIA,BANGALORE,49,47,45,2,4.1%,"31,432","29,118","12,115",41.6%,35,"2,279",7.3%,"31,481","29,200","2,281",7.2%
Germany,INDIA,CHENNAI,116,103,88,13,11.2%,"20,469","19,070","18,455",96.8%,8,"1,391",6.8%,"20,585","19,181","1,404",6.8%
Germany,INDIA,KOLKATA,10,10,8,,,"6,874","6,462","2,557",39.6%,1,411,6.0%,"6,884","6,473",411,6.0%
Germany,INDIA,MUMBAI,170,167,129,3,1.8%,"53,351","51,591","46,882",90.9%,8,"1,752",3.3%,"53,521","51,766","1,755",3.3%
Germany,INDIA,NEW DELHI,167,149,141,18,10.8%,"41,835","37,047","36,402",98.3%,116,"4,672",11.2%,"42,002","37,312","4,690",11.2%
Germany,INDONESIA,JAKARTA,,,,,,"26,219","26,025","26,016",100.0%,14,180,0.7%,"26,219","26,039",180,0.7%
Germany,IRAN,TEHERAN,177,172,154,5,2.8%,"52,049","44,639","20,088",45.0%,271,"7,139",13.7%,"52,226","45,082","7,144",13.7%
Germany,IRAQ,BAGHDAD,,,,,,"4,725","3,508","1,335",38.1%,153,"1,064",22.5%,"4,725","3,661","1,064",22.5%
Germany,IRAQ,ERBIL,,,,,,"22,065","11,257","7,268",64.6%,178,"10,630",48.2%,"22,065","11,435","10,630",48.2%
Germany,IRELAND,DUBLIN,,,,,,"1,249","1,188",713,60.0%,4,57,4.6%,"1,249","1,192",57,4.6%
Germany,ISRAEL,TEL AVIV,4,4,4,,,968,958,676,70.6%,5,5,0.5%,972,967,5,0.5%
Germany,ITALY,ROME,,,,,,31,26,24,92.3%,4,1,3.2%,31,30,1,3.2%
Germany,JAMAICA,KINGSTON,76,76,36,,,"1,213","1,136","1,122",98.8%,1,76,6.3%,"1,289","1,213",76,5.9%
Germany,JAPAN,OSAKA,,,,,,794,767,230,30.0%,5,22,2.8%,794,772,22,2.8%
Germany,JAPAN,TOKYO,,,,,,"1,583","1,582","1,556",98.4%,1,,,"1,583","1,583",,
Germany,JORDAN,AMMAN,14,10,6,4,28.6%,"9,454","8,031","4,094",51.0%,488,935,9.9%,"9,468","8,529",939,9.9%
Germany,KAZAKHSTAN,ALMATY,,,,,,"18,722","18,113","8,804",48.6%,1,608,3.2%,"18,722","18,114",608,3.2%
Germany,KAZAKHSTAN,ASTANA,,,,,,"19,930","19,358","3,327",17.2%,5,567,2.8%,"19,930","19,363",567,2.8%
Germany,KENYA,NAIROBI,5,5,5,,,"5,644","4,826","1,436",29.8%,30,788,14.0%,"5,649","4,861",788,13.9%
Germany,KOSOVO,PRISTINA,,,,,,"29,838",168,165,98.2%,"23,573","6,097",20.4%,"29,838","23,741","6,097",20.4%
Germany,KUWAIT,KUWAIT,11,6,6,5,45.5%,"50,114","47,847","47,839",100.0%,36,"2,231",4.5%,"50,125","47,889","2,236",4.5%
Germany,KYRGYZSTAN,BISHKEK,7,,,7,100.0%,"8,586","8,136","1,225",15.1%,8,442,5.1%,"8,593","8,144",449,5.2%
Germany,LAOS,VIENTIANE,,,,,,"1,652","1,634","1,084",66.3%,,18,1.1%,"1,652","1,634",18,1.1%
Germany,LEBANON,BEIRUT,29,29,26,,,"10,561","8,003","7,547",94.3%,401,"2,157",20.4%,"10,590","8,433","2,157",20.4%
Germany,LITHUANIA,VILNIUS,,,,,,1,1,1,100.0%,,,,1,1,,
Germany,LUXEMBOURG,LUXEMBOURG,,,,,,1,1,1,100.0%,,,,1,1,,
Germany,MALAYSIA,KUALA LUMPUR,,,,,,737,679,669,98.5%,9,49,6.6%,737,688,49,6.6%
Germany,MALI,BAMAKO,1,,,1,100.0%,"1,009",748,410,54.8%,7,254,25.2%,"1,010",755,255,25.2%
Germany,MALTA,VALETTA,,,,,,1,1,1,100.0%,,,,1,1,,
Germany,MAURITANIA,NOUAKCHOTT,,,,,,974,767,700,91.3%,,207,21.3%,974,767,207,21.3%
Germany,MEXICO,MEXICO CITY,87,87,66,,,217,207,202,97.6%,9,1,0.5%,304,303,1,0.3%
Germany,MOLDOVA,CHISINAU,1,1,,,,216,209,202,96.7%,1,6,2.8%,217,211,6,2.8%
Germany,MONGOLIA,ULAN BATOR,,,,,,"10,475","9,206","3,373",36.6%,4,"1,265",12.1%,"10,475","9,210","1,265",12.1%
Germany,MONTENEGRO,PODGORICA,5,1,1,4,80.0%,312,252,252,100.0%,38,22,7.1%,317,291,26,8.2%
Germany,MOROCCO,RABAT,,,,,,"17,490","12,791","8,537",66.7%,3,"4,696",26.8%,"17,490","12,794","4,696",26.8%
Germany,MOZAMBIQUE,MAPUTO,,,,,,"1,070",990,145,14.6%,4,76,7.1%,"1,070",994,76,7.1%
Germany,MYANMAR,YANGON,,,,,,"4,403","4,303","3,714",86.3%,6,94,2.1%,"4,403","4,309",94,2.1%
Germany,NAMIBIA,WINDHOEK,2,2,2,,,"4,960","4,926","2,267",46.0%,4,30,0.6%,"4,962","4,932",30,0.6%
Germany,NEPAL,KATHMANDU,,,,,,"5,247","4,179","4,107",98.3%,1,"1,067",20.3%,"5,247","4,180","1,067",20.3%
Germany,NETHERLANDS,AMSTERDAM,,,,,,15,12,12,100.0%,3,,,15,15,,
Germany,NEW ZEALAND,WELLINGTON,,,,,,419,406,386,95.1%,4,9,2.1%,419,410,9,2.1%
Germany,NICARAGUA,MANAGUA,,,,,,13,13,13,100.0%,,,,13,13,,
Germany,NIGERIA,ABUJA,57,55,42,2,3.5%,"1,055",886,571,64.4%,148,21,2.0%,"1,112","1,089",23,2.1%
Germany,NIGERIA,LAGOS,140,94,48,46,32.9%,"11,142","5,486","2,373",43.3%,46,"5,610",50.4%,"11,282","5,626","5,656",50.1%
Germany,NORTH KOREA,PYONGYANG,,,,,,142,91,4,4.4%,2,49,34.5%,142,93,49,34.5%
Germany,OMAN,MUSCAT,,,,,,"9,420","8,988","8,617",95.9%,117,315,3.3%,"9,420","9,105",315,3.3%
Germany,PAKISTAN,ISLAMABAD,4,,,4,100.0%,"8,525","5,457","1,973",36.2%,252,"2,816",33.0%,"8,529","5,709","2,820",33.1%
Germany,PAKISTAN,KARACHI,8,8,3,,,"11,456","9,250","9,226",99.7%,240,"1,966",17.2%,"11,464","9,498","1,966",17.1%
Germany,PALESTINIAN AUTHORITY,RAMALLAH,,,,,,"4,495","3,358","3,203",95.4%,796,341,7.6%,"4,495","4,154",341,7.6%
Germany,PANAMA,PANAMA CITY,12,8,8,4,33.3%,53,49,44,89.8%,1,3,5.7%,65,58,7,10.8%
Germany,PARAGUAY,ASUNCION,,,,,,21,21,20,95.2%,,,,21,21,,
Germany,PERU,LIMA,2,2,,,,41,41,40,97.6%,,,,43,43,,
Germany,PHILIPPINES,MANILA,,,,,,"17,649","16,155","16,149",100.0%,6,"1,488",8.4%,"17,649","16,161","1,488",8.4%
Germany,POLAND,WARSAW,,,,,,14,14,14,100.0%,,,,14,14,,
Germany,PORTUGAL,LISBON,,,,,,2,1,1,100.0%,1,,,2,2,,
Germany,QATAR,DOHA,,,,,,"21,553","20,250","16,363",80.8%,327,976,4.5%,"21,553","20,577",976,4.5%
Germany,ROMANIA,BUCHAREST,,,,,,635,580,304,52.4%,6,49,7.7%,635,586,49,7.7%
Germany,RUSSIAN FEDERATION,KALININGRAD,,,,,,"27,937","27,380","22,687",82.9%,,557,2.0%,"27,937","27,380",557,2.0%
Germany,RUSSIAN FEDERATION,MOSCOW,17,15,15,2,11.8%,"187,637","182,755","182,444",99.8%,176,"4,706",2.5%,"187,654","182,946","4,708",2.5%
Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,,,,,,"35,427","34,809","14,468",41.6%,1,617,1.7%,"35,427","34,810",617,1.7%
Germany,RUSSIAN FEDERATION,ST. PETERSBURG,,,,,,"20,322","20,187","18,877",93.5%,11,124,0.6%,"20,322","20,198",124,0.6%
Germany,RUSSIAN FEDERATION,YEKATERINBURG,,,,,,"28,980","28,147","11,645",41.4%,1,832,2.9%,"28,980","28,148",832,2.9%
Germany,RWANDA,KIGALI,,,,,,103,93,93,100.0%,7,3,2.9%,103,100,3,2.9%
Germany,SAUDI ARABIA,JEDDAH,,,,,,"17,520","17,372","17,369",100.0%,47,101,0.6%,"17,520","17,419",101,0.6%
Germany,SAUDI ARABIA,RIYADH,6,4,2,2,33.3%,"49,378","46,402","42,533",91.7%,357,"2,619",5.3%,"49,384","46,763","2,621",5.3%
Germany,SENEGAL,DAKAR,,,,,,"2,782","1,763",934,53.0%,6,"1,013",36.4%,"2,782","1,769","1,013",36.4%
Germany,SERBIA,BELGRADE,,,,,,"1,197",417,416,99.8%,732,48,4.0%,"1,197","1,149",48,4.0%
Germany,SINGAPORE,SINGAPORE,1,1,1,,,"4,764","4,711","4,707",99.9%,8,45,0.9%,"4,765","4,720",45,0.9%
Germany,SOUTH AFRICA,CAPE TOWN,,,,,,"11,246","11,117","11,103",99.9%,6,123,1.1%,"11,246","11,123",123,1.1%
Germany,SOUTH AFRICA,PRETORIA,,,,,,"20,379","20,127","20,117",100.0%,12,240,1.2%,"20,379","20,139",240,1.2%
Germany,SOUTH KOREA,SEOUL,2,2,2,,,843,702,699,99.6%,7,134,15.9%,845,711,134,15.9%
Germany,SPAIN,MADRID,,,,,,72,30,26,86.7%,40,2,2.8%,72,70,2,2.8%
Germany,SRI LANKA,COLOMBO,3,3,3,,,"7,512","6,330","4,863",76.8%,4,"1,178",15.7%,"7,515","6,337","1,178",15.7%
Germany,SUDAN,KHARTOUM,6,6,2,,,"2,351",101,30,29.7%,"1,836",414,17.6%,"2,357","1,943",414,17.6%
